sentence1,sentence2,gold_label
"One man is playing a guitar, another is playing the keyboard and the last is playing a trumpet.",Three men are jumping rope.,contradiction
The team in red and blue is playing soccer with the team in purple and white.,The two teams are playing football.,contradiction
A black and white dog looks back while walking on the beach.,The dog is asleep at home.,contradiction
A man wearing sandals standing next to a craft machine.,The man is about to sell a car.,contradiction
The girl in a pink shirt jumps high over the grass.,A girl crawls through the grass.,contradiction
Aid big guy wearing an orange jumpsuit is talking to a skinny lady who's dressed up with a long skirt is standing on the freeway looking at the red Motorcycle that crash,A convict has escaped from county jail.,contradiction
A man on a bike rides on the ramp and flips his bike as he comes down.,A bear riding a bicycle runs from the circus.,contradiction
Young people in yellow shirts prepare colorful food.,The people are not wearing shirts.,contradiction
A group of people are writing specific symbols of their culture.,People bury artifacts in tombs.,contradiction
a young boy falling down into the snow with another boy in the background,A girl falls in the pool.,contradiction
Three men are happy because they're team is wining.,The pony walks to the trough.,contradiction
A woman admiring colorful christmas ornaments.,A woman looking at christmas lights.,contradiction
One black and white dog sleeps while the other two black and white dogs play with a plastic bag.,All of the dogs are asleep.,contradiction
A white bearded man sitting on a bench watching boats.,a man standing near the sea,contradiction
"One mn standing on the ground, and one is standing on the roof.",One man is driving a car.,contradiction
a black girl walking down the sidewalk with a cellphone in her hand.,A man is talking on the cell phone,contradiction
An older man works his station by the boat dock.,A dog is driving the boat.,contradiction
A bearded old gentleman plays a split guitar outside.,The man is playing drums in a studio where the track is being digitally recorded.,contradiction
People sitting on the ledges surrounding steps and a tiled wall.,They are all frozen solid,contradiction
"A man sitting outside, fanning his face with something.",A man is sitting in front of the air conditioner playing cards.,contradiction
Muzzled greyhounds are racing on the track.,Muzzled greyhouds are eating Kibbles 'N Bits out of a cereal bowl.,contradiction
A golden dog looks alert as he stands in snow.,the dog is sitting on water,contradiction
A woman with a tattoo sits with a pair of yellow tinted sunglasses on her multicolored hair.,The woman is shaving her legs in the bathroom.,contradiction
"A young boy, playing soccer, is wearing a green jersey and black shorts and has his face buried in his hands.","A young boy, playing soccer, is wearing a green jersey and black shorts jumping through the air.",contradiction
A man in a hat is walking in a city while looking to the left.,The man is looking down at his shoes.,contradiction
A man and woman are in the kitchen and a package of Challenge butter is in the foreground.,A man and woman are not in the kitchen,contradiction
Two little girls lie on the carpet next to an O made of wooden blocks.,Two girls are having a pillow fight.,contradiction
A person walking down an empty street.,The woman is walking in a crowd.,contradiction
A mother pulls her daughter on a sled in the snow.,The child is skiing.,contradiction
Wedding photo of the bride and groom jumping for joy on the Great Wall of China.,The photograph depicts two people getting into a car.,contradiction
Two men and a white dog stand in a meadow near a steep hill.,The dog is black,contradiction
An elderly man is dancing with a young girl.,An older couple smile as they dance together.,contradiction
The room is carpeted.,The marble floor shines after being polished.,contradiction
The rock climber appears to be stuck between a rock and a hard place.,The climber is inside.,contradiction
a smiling woman in a peach tank top stands holding a mountain bike,The woman is playing the piano in her living room.,contradiction
A large crowd of people stand outside in front of the entrance to a Metro station.,A group of passengers assemble to board the ship.,contradiction
"Two men and one woman hiker, all dressed in T-shirts and shorts, pose in front of a trail map in the snow.",The people are reading the map.,contradiction
A young man is sitting alone in the dark playing with his instrument,The man is surrounded by people as he plays his guitar.,contradiction
A construction worker takes a moment to wipe his face while working in the hot sun outdoors.,A worker drinks a cold drink.,contradiction
Four girls sit on an ATV in a yard.,Some girls are hanging out by a motorcycle.,contradiction
A nurse is bathing a newborn baby.,a nurse sleeps with a baby in her arms.,contradiction
A child snowboarder coming to a stop,The adult snowboarder is coming to a stop.,contradiction
